molecule,atoms,bonds,parse_ms,bond_ms,total_ms
1CRN,327,337,1.34842,3.94183,5.29025
1UBQ,660,608,1.69446,13.0315,14.726
1MBN,1260,1298,3.24512,46.5519,49.797
1AON,58870,59307,114.332,103632,103746
1FFK,64281,67866,121.664,124065,124186
1GFL,3950,3738,8.21562,464.585,472.8
1HHP,758,771,1.97958,17.1477,19.1273
2INS,964,810,2.97146,27.7563,30.7277
2LYZ,1102,1037,2.94283,36.3138,39.2566
3HHB,4612,4704,9.85133,633.049,642.901
4HHB,4779,4633,10.6144,679.34,689.954
